PPIN,ISR,OOS,INACTIVE
76659,2,.,.
76692,1,.,.
76706,1,.,.
76739,1,.,.
76772,1,.,.
76794,1,.,.
76841,1,.,.
76852,1,.,.
76863,1,.,.
76874,1,.,.
76885,1,.,.
76932,1,.,.
76943,3,5,.
76954,1,.,.
76965,1,.,.
76976,3,5,.
76987,1,.,.
76998,2,.,.
77007,1,.,.
77018,1,.,.
77029,1,.,.
77062,1,.,.
77095,1,.,.
77131,1,.,.
77164,1,.,.
77175,1,.,.
77186,3,2,1
77211,1,.,.
77222,1,.,.
77233,1,.,.
77244,2,.,.
77266,1,.,.
77277,1,.,.
77288,1,.,.
77299,1,.,.
77324,1,.,.
77335,3,2,.
77379,1,.,.
77404,2,.,.
77437,1,.,.
77448,1,.,.
77459,1,.,.
77517,3,2,.
77528,1,.,.
77539,1,.,.
77561,1,.,.
77572,1,.,.
77619,1,.,.
77641,3,2,.
77652,1,.,.
77663,1,.,.
77685,1,.,.
77696,1,.,.
77721,1,.,.
77732,1,.,.
77743,1,.,.
77776,1,.,.
77787,1,.,.
77798,1,.,.
77801,1,.,.
77812,1,.,.
77823,1,.,.
77834,1,.,.
77845,1,.,.
77867,1,.,.
77889,1,.,.
77903,1,.,.
78361,1,.,.
78372,2,.,.
78383,1,.,.
78419,1,.,.
78496,3,2,1
78565,3,2,.
78576,1,.,.
78598,1,.,.
78656,3,2,1
78667,3,8,1
78714,1,.,.
78736,1,.,.
78747,1,.,.
78758,1,.,.
78838,1,.,.
78995,1,.,.
79004,1,.,.
79081,3,2,1
79106,3,2,.
79128,1,.,.
79183,1,.,.
79296,1,.,.
79365,1,.,.
79387,1,.,.
79398,1,.,.
79434,3,2,.
79445,3,2,.
79478,3,2,.
79514,1,.,.
79525,2,.,.
79671,1,.,.
79707,1,.,.
79729,1,.,.
79751,1,.,.
79853,2,.,.
79864,1,.,.
79922,1,.,.
79988,1,.,.
80075,1,.,.
80155,3,4,.
80166,1,.,.
80304,1,.,.
80359,1,.,.
80406,1,.,.
80428,1,.,.
80439,1,.,.
80461,1,.,.
80472,1,.,.
80519,1,.,.
80654,1,.,.
80665,1,.,.
80687,1,.,.
80698,2,.,.
80701,1,.,.
80712,1,.,.
80745,1,.,.
80814,2,.,.
80858,1,.,.
80869,1,.,.
80905,1,.,.
80916,1,.,.
80927,1,.,.
80938,3,7,1
80949,1,.,.
80971,1,.,.
80982,1,.,.
81002,1,.,.
81057,1,.,.
81104,1,.,.
81181,1,.,.
81206,1,.,.
81272,2,.,.
81294,1,.,.
81341,1,.,.
81421,1,.,.
81443,1,.,.
81476,2,.,.
81512,1,.,.
81556,1,.,.
81589,1,.,.
81636,3,7,1
81658,2,.,.
81691,1,.,.
81738,1,.,.
81829,1,.,.
81851,3,2,1
81873,1,.,.
81895,1,.,.
81909,3,2,1
81942,1,.,.
81953,1,.,.
81975,2,.,.
81997,1,.,.
82006,1,.,.
82028,1,.,.
82039,1,.,.
82061,1,.,.
82072,3,12,1
82094,1,.,.
82141,1,.,.
82152,1,.,.
82163,2,.,.
82254,1,.,.
82265,1,.,.
82312,1,.,.
82334,1,.,.
82345,1,.,.
82356,1,.,.
82425,3,2,1
82447,1,.,.
82491,3,8,1
82505,1,.,.
82527,1,.,.
82549,1,.,.
82571,1,.,.
82582,1,.,.
82593,1,.,.
82629,1,.,.
82651,1,.,.
82662,3,2,.
82673,1,.,.
82684,2,.,.
82695,2,.,.
82709,1,.,.
82764,3,2,.
82775,3,2,1
82797,1,.,.
82811,1,.,.
82855,3,2,.
82877,3,5,.
82924,2,.,.
82946,2,.,.
82957,1,.,.
82968,3,12,1
83032,1,.,.
83054,1,.,.
83065,1,.,.
83145,1,.,.
83167,1,.,.
83203,3,2,.
83214,1,.,.
83225,1,.,.
83236,3,6,.
83247,2,.,.
83258,1,.,.
83291,2,.,.
83393,1,.,.
83407,2,.,.
83418,1,.,.
83429,1,.,.
83451,3,3,1
83462,1,.,.
83473,1,.,.
83484,1,.,.
83495,1,.,.
83509,1,.,.
83531,1,.,.
83542,1,.,.
83553,1,.,.
83564,1,.,.
83575,2,.,.
83586,1,.,.
83597,1,.,.
83611,1,.,.
83622,1,.,.
83633,1,.,.
83644,1,.,.
83655,1,.,.
83699,1,.,.
83881,1,.,.
83972,3,5,.
84003,1,.,.
84047,2,.,.
84058,1,.,.
84091,1,.,.
84138,1,.,.
84342,1,.,.
84477,1,.,.
84524,1,.,.
84568,2,.,.
84615,1,.,.
84637,1,.,.
84706,3,2,1
84874,3,2,.
84954,3,2,.
85018,1,.,.
85029,1,.,.
85051,1,.,.
85095,1,.,.
85222,1,.,.
85346,3,2,.
85936,2,.,.
86011,2,.,.
86419,1,.,.
86565,1,.,.
86587,2,.,.
86667,1,.,.
86703,3,5,1
86747,1,.,.
86758,1,.,.
86805,1,.,.
86871,3,2,.
87037,1,.,.
87092,1,.,.
87208,1,.,.
87241,1,.,.
87252,1,.,.
87296,1,.,.
87321,1,.,.
87343,1,.,.
87434,1,.,.
87569,1,.,.
87591,3,2,.
87693,3,2,.
87751,1,.,.
87762,1,.,.
87875,1,.,.
87944,1,.,.
88096,1,.,.
88143,1,.,.
88245,1,.,.
88438,1,.,.
88584,2,.,.
88595,2,.,.
88609,1,.,.
88631,1,.,.
88686,1,.,.
88711,1,.,.
88722,1,.,.
88744,3,7,1
88799,1,.,.
88813,1,.,.
88857,1,.,.
89125,1,.,.
89169,1,.,.
89271,1,.,.
89395,1,.,.
89464,3,2,.
89475,2,.,.
89511,3,5,1
89737,3,2,.
89781,1,.,.
89817,1,.,.
89828,1,.,.
89952,1,.,.
89996,1,.,.
90083,3,2,1
90265,1,.,.
90356,1,.,.
90549,1,.,.
90753,1,.,.
90811,1,.,.
90844,3,3,.
90877,1,.,.
90979,1,.,.
91043,1,.,.
91101,2,.,.
91145,1,.,.
91236,1,.,.
91258,3,5,.
91418,1,.,.
91484,1,.,.
91564,3,2,.
91586,1,.,.
91644,3,5,.
91688,1,.,.
91702,3,5,.
91713,1,.,.
91746,1,.,.
91892,1,.,.
92014,1,.,.
92058,1,.,.
92091,1,.,.
92105,3,2,1
92116,1,.,.
92138,1,.,.
92477,1,.,.
92499,1,.,.
92546,2,.,.
92568,1,.,.
92681,1,.,.
92739,1,.,.
92794,2,.,.
92976,1,.,.
93062,3,2,.
93095,1,.,.
93109,1,.,.
93142,2,.,.
93164,1,.,.
93368,1,.,.
93379,1,.,.
93539,1,.,.
93696,1,.,.
93787,1,.,.
94102,2,.,.
94124,1,.,.
94237,2,.,.
94248,1,.,.
94408,1,.,.
94441,1,.,.
